"","df1.df.country","n","mean_M","median_M","max_M","min_M"
"","",1,4.22222222222222,4.22222222222222,4.22222222222222,4.22222222222222
"A1","A1",9,4.12345679012346,4.44444444444444,4.88888888888889,1.88888888888889
"A2","A2",3,3.92592592592593,4.55555555555556,4.66666666666667,2.55555555555556
"AE","AE",24,3.86111111111111,3.66666666666667,5,2.66666666666667
"AF","AF",2,4,4,4.33333333333333,3.66666666666667
"AL","AL",9,3.67901234567901,3.77777777777778,4.55555555555556,2.55555555555556
"AN","AN",1,3.33333333333333,3.33333333333333,3.33333333333333,3.33333333333333
"AO","AO",2,3.55555555555556,3.55555555555556,4.11111111111111,3
"AP","AP",7,2.92063492063492,2.88888888888889,4.66666666666667,1
"AR","AR",28,3.56746031746032,3.66666666666667,4.77777777777778,1.55555555555556
"AT","AT",39,3.76923076923077,3.77777777777778,5,2.33333333333333
"AU","AU",760,3.72616959064327,3.88888888888889,5,0
"AW","AW",2,4.11111111111111,4.11111111111111,4.22222222222222,4
"AZ","AZ",4,3.63888888888889,3.88888888888889,4,2.77777777777778
"BA","BA",20,3.94444444444444,4.33333333333333,4.88888888888889,1.66666666666667
"BB","BB",4,3.5,3.16666666666667,5,2.66666666666667
"BD","BD",6,3.94444444444444,3.77777777777778,4.88888888888889,3.44444444444444
"BE","BE",39,3.51851851851852,3.66666666666667,5,0.333333333333333
"BG","BG",29,3.91187739463602,3.77777777777778,5,2.44444444444444
"BH","BH",1,3.11111111111111,3.11111111111111,3.11111111111111,3.11111111111111
"BM","BM",1,4,4,4,4
"BN","BN",2,4,4,4.22222222222222,3.77777777777778
"BO","BO",3,4,4.11111111111111,4.22222222222222,3.66666666666667
"BR","BR",109,3.82262996941896,3.88888888888889,5,1
"BS","BS",6,3.74074074074074,3.61111111111111,5,2.77777777777778
"BW","BW",2,3.83333333333333,3.83333333333333,5,2.66666666666667
"BZ","BZ",1,3.66666666666667,3.66666666666667,3.66666666666667,3.66666666666667
"CA","CA",1213,3.65155262434735,3.77777777777778,5,0
"CH","CH",39,3.93447293447293,4.11111111111111,5,1.66666666666667
"CL","CL",21,3.86243386243386,3.88888888888889,4.88888888888889,2.55555555555556
"CM","CM",1,2.55555555555556,2.55555555555556,2.55555555555556,2.55555555555556
"CN","CN",51,3.70588235294118,3.66666666666667,5,1.44444444444444
"CO","CO",13,3.90598290598291,3.88888888888889,5,2.77777777777778
"CR","CR",10,3.64444444444444,3.94444444444444,4.44444444444444,2.22222222222222
"CY","CY",8,3.94444444444444,4.11111111111111,5,2.66666666666667
"CZ","CZ",40,3.86944444444444,3.94444444444444,5,2.22222222222222
"DE","DE",240,3.69259259259259,3.66666666666667,5,1.55555555555556
"DK","DK",77,3.60894660894661,3.66666666666667,5,1.44444444444444
"DO","DO",4,3.94444444444444,4.11111111111111,5,2.55555555555556
"DZ","DZ",1,4.77777777777778,4.77777777777778,4.77777777777778,4.77777777777778
"EC","EC",2,4.38888888888889,4.38888888888889,4.77777777777778,4
"EE","EE",45,3.90123456790123,4,4.88888888888889,2
"EG","EG",8,3.88888888888889,4.05555555555556,5,2.55555555555556
"ES","ES",51,3.83660130718954,3.88888888888889,4.88888888888889,2.11111111111111
"ET","ET",1,4.11111111111111,4.11111111111111,4.11111111111111,4.11111111111111
"EU","EU",34,3.56209150326797,3.66666666666667,5,1.55555555555556
"FI","FI",274,3.4095701540957,3.44444444444444,5,1.33333333333333
"FO","FO",1,3.88888888888889,3.88888888888889,3.88888888888889,3.88888888888889
"FR","FR",88,3.61994949494949,3.66666666666667,5,1.44444444444444
"GB","GB",2810,3.75270858046659,3.88888888888889,5,1
"GD","GD",2,4.44444444444444,4.44444444444444,4.55555555555556,4.33333333333333
"GE","GE",2,3.38888888888889,3.38888888888889,3.66666666666667,3.11111111111111
"GG","GG",2,4.33333333333333,4.33333333333333,4.55555555555556,4.11111111111111
"GH","GH",4,3.36111111111111,3.83333333333333,4,1.77777777777778
"GI","GI",1,3.33333333333333,3.33333333333333,3.33333333333333,3.33333333333333
"GP","GP",1,2.77777777777778,2.77777777777778,2.77777777777778,2.77777777777778
"GR","GR",66,3.57239057239057,3.55555555555556,4.88888888888889,1.66666666666667
"GT","GT",3,4.2962962962963,4.66666666666667,4.66666666666667,3.55555555555556
"GU","GU",5,3.8,3.77777777777778,4.44444444444444,2.66666666666667
"GY","GY",1,4.66666666666667,4.66666666666667,4.66666666666667,4.66666666666667
"HK","HK",45,3.75555555555556,3.77777777777778,5,2.11111111111111
"HN","HN",2,3.05555555555556,3.05555555555556,3.22222222222222,2.88888888888889
"HR","HR",85,3.65751633986928,3.77777777777778,5,1.77777777777778
"HU","HU",30,3.45555555555556,3.55555555555556,5,1.77777777777778
"ID","ID",85,3.92287581699346,3.88888888888889,5,2.44444444444444
"IE","IE",160,3.72916666666667,3.83333333333333,5,1.77777777777778
"IL","IL",25,3.64444444444444,3.66666666666667,4.88888888888889,2.22222222222222
"IM","IM",1,4.22222222222222,4.22222222222222,4.22222222222222,4.22222222222222
"IN","IN",216,3.74125514403292,3.77777777777778,5,1
"IQ","IQ",3,3.25925925925926,3.55555555555556,4.44444444444444,1.77777777777778
"IR","IR",6,3.27777777777778,3.61111111111111,4.55555555555556,1.11111111111111
"IS","IS",15,3.85185185185185,3.88888888888889,4.88888888888889,2
"IT","IT",80,3.58333333333333,3.66666666666667,5,1.55555555555556
"JE","JE",4,3.77777777777778,3.88888888888889,4,3.33333333333333
"JM","JM",2,4.27777777777778,4.27777777777778,4.88888888888889,3.66666666666667
"JO","JO",7,3.57142857142857,3.77777777777778,4.66666666666667,2
"JP","JP",47,3.97399527186761,3.88888888888889,5,2.11111111111111
"KE","KE",11,4.08080808080808,4,4.88888888888889,3.55555555555556
"KN","KN",1,3.33333333333333,3.33333333333333,3.33333333333333,3.33333333333333
"KR","KR",23,3.74396135265701,3.77777777777778,5,2.22222222222222
"KW","KW",5,4.04444444444444,4.22222222222222,4.88888888888889,2.66666666666667
