"","df1.df.country","n","mean_N","median_N","max_N","min_N"
"","",1,1.11111111111111,1.11111111111111,1.11111111111111,1.11111111111111
"A1","A1",9,1.28395061728395,1.22222222222222,2.33333333333333,0.333333333333333
"A2","A2",3,1.07407407407407,0.777777777777778,2.11111111111111,0.333333333333333
"AE","AE",24,1.61574074074074,1.66666666666667,2.77777777777778,-0.111111111111111
"AF","AF",2,0.944444444444444,0.944444444444444,1.88888888888889,0
"AL","AL",9,1.18518518518519,1.11111111111111,1.66666666666667,0.555555555555556
"AN","AN",1,1.55555555555556,1.55555555555556,1.55555555555556,1.55555555555556
"AO","AO",2,0.722222222222222,0.722222222222222,1.11111111111111,0.333333333333333
"AP","AP",7,0.666666666666667,0.444444444444444,2.11111111111111,-0.222222222222222
"AR","AR",28,0.797619047619048,0.944444444444444,2,-0.666666666666667
"AT","AT",39,1.25925925925926,1.11111111111111,2.77777777777778,0.222222222222222
"AU","AU",760,1.05219298245614,1.05555555555556,3,-1
"AW","AW",2,0.555555555555556,0.555555555555556,0.666666666666667,0.444444444444444
"AZ","AZ",4,0.694444444444444,0.666666666666667,1,0.444444444444444
"BA","BA",20,1.35,1.22222222222222,2.77777777777778,-0.555555555555556
"BB","BB",4,1,0.5,2.55555555555556,0.444444444444444
"BD","BD",6,1.18518518518519,1.16666666666667,2,0.555555555555556
"BE","BE",39,0.957264957264957,0.888888888888889,2.66666666666667,-0.111111111111111
"BG","BG",29,1.36015325670498,1.22222222222222,3,-0.555555555555556
"BH","BH",1,0.444444444444444,0.444444444444444,0.444444444444444,0.444444444444444
"BM","BM",1,0.777777777777778,0.777777777777778,0.777777777777778,0.777777777777778
"BN","BN",2,1.16666666666667,1.16666666666667,1.44444444444444,0.888888888888889
"BO","BO",3,1.18518518518519,1.33333333333333,1.33333333333333,0.888888888888889
"BR","BR",109,0.893985728848114,0.888888888888889,2.77777777777778,-1
"BS","BS",6,1.38888888888889,1.16666666666667,2.77777777777778,0.777777777777778
"BW","BW",2,2,2,3,1
"BZ","BZ",1,0.555555555555556,0.555555555555556,0.555555555555556,0.555555555555556
"CA","CA",1213,1.01337363744618,1,3,-1
"CH","CH",39,1.33333333333333,1.22222222222222,3,-0.111111111111111
"CL","CL",21,0.835978835978836,0.777777777777778,2.66666666666667,-0.888888888888889
"CM","CM",1,0.444444444444444,0.444444444444444,0.444444444444444,0.444444444444444
"CN","CN",51,1.10021786492375,1,2.44444444444444,-0.222222222222222
"CO","CO",13,1.14529914529915,0.777777777777778,2.66666666666667,0.111111111111111
"CR","CR",10,1.17777777777778,1.05555555555556,2.22222222222222,-0.333333333333333
"CY","CY",8,1.63888888888889,1.72222222222222,2.66666666666667,0.333333333333333
"CZ","CZ",40,1.25,1.27777777777778,2.77777777777778,-0.444444444444444
"DE","DE",240,1.01435185185185,1,3,-0.777777777777778
"DK","DK",77,1.03463203463203,1.11111111111111,3,-1
"DO","DO",4,1.27777777777778,1.16666666666667,1.66666666666667,1.11111111111111
"DZ","DZ",1,1.22222222222222,1.22222222222222,1.22222222222222,1.22222222222222
"EC","EC",2,1.44444444444444,1.44444444444444,1.55555555555556,1.33333333333333
"EE","EE",45,0.977777777777778,1,2.33333333333333,-0.555555555555556
"EG","EG",8,1.22222222222222,0.833333333333333,3,0.222222222222222
"ES","ES",51,1.08496732026144,1.22222222222222,2.22222222222222,-0.333333333333333
"ET","ET",1,1.55555555555556,1.55555555555556,1.55555555555556,1.55555555555556
"EU","EU",34,1.09477124183007,1.11111111111111,2.66666666666667,-0.888888888888889
"FI","FI",274,0.66220600162206,0.555555555555556,2.66666666666667,-0.888888888888889
"FO","FO",1,1.33333333333333,1.33333333333333,1.33333333333333,1.33333333333333
"FR","FR",88,1,1,2.66666666666667,-0.777777777777778
"GB","GB",2810,1.05251087386319,1,3,-1
"GD","GD",2,2.05555555555556,2.05555555555556,2.22222222222222,1.88888888888889
"GE","GE",2,0.555555555555556,0.555555555555556,1.33333333333333,-0.222222222222222
"GG","GG",2,0.666666666666667,0.666666666666667,1.55555555555556,-0.222222222222222
"GH","GH",4,1.47222222222222,1.38888888888889,2.33333333333333,0.777777777777778
"GI","GI",1,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667
"GP","GP",1,0.222222222222222,0.222222222222222,0.222222222222222,0.222222222222222
"GR","GR",66,0.978114478114478,1,2.77777777777778,-0.555555555555556
"GT","GT",3,1.25925925925926,1.33333333333333,2,0.444444444444444
"GU","GU",5,1.11111111111111,1,2.22222222222222,0.333333333333333
"GY","GY",1,1.55555555555556,1.55555555555556,1.55555555555556,1.55555555555556
"HK","HK",45,1.04444444444444,1.11111111111111,2.44444444444444,-0.444444444444444
"HN","HN",2,0.555555555555556,0.555555555555556,1,0.111111111111111
"HR","HR",85,1.13856209150327,1.11111111111111,3,-0.555555555555556
"HU","HU",30,0.914814814814815,1,2,-0.333333333333333
"ID","ID",85,1.19477124183007,1.22222222222222,3,-0.444444444444444
"IE","IE",160,1.02013888888889,1,3,-0.666666666666667
"IL","IL",25,1.03555555555556,1.11111111111111,1.88888888888889,-0.111111111111111
"IM","IM",1,1.22222222222222,1.22222222222222,1.22222222222222,1.22222222222222
"IN","IN",216,1.20679012345679,1.11111111111111,3,-1
"IQ","IQ",3,1.18518518518519,1.33333333333333,1.55555555555556,0.666666666666667
"IR","IR",6,1.01851851851852,0.944444444444444,2.11111111111111,-0.111111111111111
"IS","IS",15,1.18518518518519,1.22222222222222,2.33333333333333,0.111111111111111
"IT","IT",80,1.00972222222222,1,2.88888888888889,-0.222222222222222
"JE","JE",4,1.63888888888889,1.61111111111111,2.44444444444444,0.888888888888889
"JM","JM",2,0.444444444444444,0.444444444444444,1.33333333333333,-0.444444444444444
"JO","JO",7,1.28571428571429,1.11111111111111,2.55555555555556,0.333333333333333
"JP","JP",47,1.22695035460993,1.11111111111111,2.88888888888889,-0.666666666666667
"KE","KE",11,1.37373737373737,1.66666666666667,2.44444444444444,-0.555555555555556
"KN","KN",1,1,1,1,1
"KR","KR",23,1.05314009661836,1.11111111111111,2.55555555555556,0.111111111111111
"KW","KW",5,1.51111111111111,1.22222222222222,2.44444444444444,1
