"","df1.df.country","n","mean_P","median_P","max_P","min_P"
"","",1,2,2,2,2
"A1","A1",9,2.02469135802469,2,3.22222222222222,0.555555555555556
"A2","A2",3,1.66666666666667,2.11111111111111,2.33333333333333,0.555555555555556
"AE","AE",24,1.64814814814815,1.66666666666667,3.33333333333333,0.444444444444444
"AF","AF",2,1.61111111111111,1.61111111111111,2.55555555555556,0.666666666666667
"AL","AL",9,1.38271604938272,1.22222222222222,2.55555555555556,0.666666666666667
"AN","AN",1,1,1,1,1
"AO","AO",2,1.38888888888889,1.38888888888889,2.11111111111111,0.666666666666667
"AP","AP",7,1.07936507936508,0.666666666666667,3,0.111111111111111
"AR","AR",28,1.19444444444444,1.33333333333333,2.55555555555556,0.111111111111111
"AT","AT",39,1.49002849002849,1.44444444444444,2.88888888888889,0.222222222222222
"AU","AU",760,1.51286549707602,1.44444444444444,3.66666666666667,-0.333333333333333
"AW","AW",2,1.27777777777778,1.27777777777778,1.55555555555556,1
"AZ","AZ",4,1.77777777777778,1.66666666666667,2.77777777777778,1
"BA","BA",20,1.81111111111111,1.83333333333333,3.33333333333333,0.111111111111111
"BB","BB",4,1.25,0.777777777777778,3,0.444444444444444
"BD","BD",6,1.81481481481481,1.83333333333333,2.33333333333333,1
"BE","BE",39,1.46723646723647,1.44444444444444,3.11111111111111,0
"BG","BG",29,1.61302681992337,1.55555555555556,3,0.444444444444444
"BH","BH",1,1.22222222222222,1.22222222222222,1.22222222222222,1.22222222222222
"BM","BM",1,1.55555555555556,1.55555555555556,1.55555555555556,1.55555555555556
"BN","BN",2,2.38888888888889,2.38888888888889,2.44444444444444,2.33333333333333
"BO","BO",3,2.07407407407407,1.77777777777778,3,1.44444444444444
"BR","BR",109,1.40468909276249,1.44444444444444,3.44444444444444,-0.333333333333333
"BS","BS",6,1.81481481481481,2,2.88888888888889,0.111111111111111
"BW","BW",2,2.22222222222222,2.22222222222222,3.55555555555556,0.888888888888889
"BZ","BZ",1,1.88888888888889,1.88888888888889,1.88888888888889,1.88888888888889
"CA","CA",1213,1.41018594852066,1.33333333333333,3.66666666666667,-0.333333333333333
"CH","CH",39,1.83475783475783,2,3.44444444444444,-0.333333333333333
"CL","CL",21,1.59259259259259,1.66666666666667,2.66666666666667,0.111111111111111
"CM","CM",1,0,0,0,0
"CN","CN",51,1.45751633986928,1.33333333333333,3,0.222222222222222
"CO","CO",13,1.61538461538462,1.33333333333333,2.77777777777778,0.444444444444444
"CR","CR",10,1.56666666666667,1.61111111111111,2.44444444444444,0.111111111111111
"CY","CY",8,1.47222222222222,1.55555555555556,2.55555555555556,0.333333333333333
"CZ","CZ",40,1.47222222222222,1.33333333333333,3.22222222222222,0.444444444444444
"DE","DE",240,1.46527777777778,1.44444444444444,3.66666666666667,-0.111111111111111
"DK","DK",77,1.46031746031746,1.44444444444444,3.22222222222222,-0.333333333333333
"DO","DO",4,1.58333333333333,1.77777777777778,2.33333333333333,0.444444444444444
"DZ","DZ",1,2,2,2,2
"EC","EC",2,2,2,2.44444444444444,1.55555555555556
"EE","EE",45,1.43456790123457,1.33333333333333,2.66666666666667,0.111111111111111
"EG","EG",8,1.55555555555556,1.38888888888889,3.22222222222222,0.333333333333333
"ES","ES",51,1.53376906318083,1.66666666666667,3.44444444444444,0.222222222222222
"ET","ET",1,2.11111111111111,2.11111111111111,2.11111111111111,2.11111111111111
"EU","EU",34,1.34640522875817,1.33333333333333,3.44444444444444,0.222222222222222
