"","mach","narc","psyc"
"1",35,6,16
"2",20,-4,11
"3",29,-4,8
"4",44,27,22
"5",34,10,10
"6",26,2,15
"7",34,9,17
"8",44,25,20
"9",34,3,20
"10",43,27,26
"11",39,17,18
"12",39,23,15
"13",20,5,10
"14",27,7,12
"15",37,10,17
"16",40,9,3
"17",29,7,9
"18",36,0,3
"19",32,9,14
"20",25,8,12
"21",36,6,7
"22",30,8,17
"23",37,20,21
"24",35,24,23
"25",43,14,23
"26",23,2,10
"27",24,1,4
"28",38,0,13
"29",22,5,7
"30",27,3,11
"31",24,8,3
"32",34,8,3
"33",41,13,20
"34",22,9,-1
"35",25,6,6
"36",29,3,13
"37",37,5,3
"38",41,25,21
"39",38,16,21
"40",28,7,8
"41",31,-1,12
"42",43,13,14
"43",34,4,14
"44",30,10,14
"45",34,8,14
"46",33,4,3
"47",43,11,17
"48",29,10,15
"49",44,27,22
"50",38,8,22
"51",35,12,13
"52",41,14,13
"53",38,7,9
"54",34,13,21
"55",33,8,18
"56",19,0,7
"57",35,7,7
"58",38,15,27
"59",36,14,18
"60",45,11,21
"61",30,13,16
"62",34,2,16
"63",32,10,12
"64",41,18,21
"65",31,7,15
"66",39,7,17
"67",40,23,21
"68",31,1,6
"69",15,-2,2
"70",12,7,4
"71",29,5,2
"72",35,0,10
"73",35,15,14
"74",38,5,10
"75",28,0,9
"76",33,16,13
"77",28,13,13
"78",35,23,23
"79",30,4,12
"80",35,15,8
"81",38,8,18
"82",35,1,17
"83",37,16,18
"84",34,11,8
"85",32,6,10
"86",39,11,15
"87",40,10,16
"88",32,15,5
"89",32,3,16
"90",40,10,16
"91",29,-3,12
"92",36,10,17
"93",36,5,8
"94",36,6,9
"95",22,1,10
"96",34,10,19
"97",32,6,4
"98",39,6,21
"99",45,23,29
"100",36,4,13
"101",41,11,8
"102",33,13,13
"103",16,-4,4
"104",33,11,19
"105",34,11,26
"106",39,13,15
"107",42,24,16
"108",35,1,19
"109",30,6,4
"110",38,13,16
"111",45,11,18
"112",31,13,10
"113",32,7,17
"114",36,7,23
"115",44,12,22
"116",23,5,6
"117",39,16,23
"118",29,17,12
"119",31,13,15
"120",32,8,20
"121",35,21,19
"122",20,-4,1
"123",42,19,27
"124",37,8,11
"125",38,12,16
"126",37,7,10
"127",33,11,11
"128",18,-1,7
"129",38,6,14
"130",32,16,16
"131",36,8,15
"132",30,4,11
"133",34,16,10
"134",34,11,17
"135",33,14,18
"136",20,8,0
"137",30,13,3
"138",32,17,19
"139",42,13,22
"140",29,2,5
"141",31,11,13
"142",28,12,5
"143",35,11,20
"144",35,6,18
"145",23,4,5
"146",31,17,12
"147",33,11,19
"148",37,12,11
"149",32,8,8
"150",30,9,11
"151",44,8,22
"152",34,8,1
"153",38,16,17
"154",33,4,8
"155",36,11,11
"156",24,7,12
"157",22,7,14
"158",23,2,8
"159",38,11,13
"160",38,23,26
"161",30,9,7
"162",29,1,9
"163",33,17,17
"164",41,14,24
"165",39,6,16
"166",34,16,15
"167",41,14,4
"168",28,5,7
"169",34,8,17
"170",35,15,15
"171",40,19,25
"172",25,5,5
"173",39,6,25
"174",30,1,11
"175",45,11,25
"176",33,15,14
"177",37,6,16
"178",34,1,10
"179",30,12,14
"180",37,11,16
"181",32,11,11
"182",35,14,3
"183",35,15,21
"184",41,9,11
"185",40,16,12
"186",33,5,13
"187",37,12,25
"188",39,11,17
"189",22,12,4
"190",28,4,12
"191",41,20,17
"192",30,10,9
"193",39,15,18
"194",26,4,9
"195",44,15,12
"196",32,6,10
"197",30,10,8
"198",36,6,12
"199",44,23,16
"200",27,-2,4
"201",26,4,6
"202",41,9,22
"203",36,7,14
"204",36,17,28
"205",21,3,3
"206",35,1,15
"207",21,3,4
"208",40,-1,29
"209",42,12,21
"210",17,10,-2
"211",40,12,17
"212",20,8,6
"213",29,17,14
"214",19,-4,8
"215",27,6,12
"216",23,9,7
"217",24,5,12
"218",44,17,27
"219",24,0,11
"220",31,8,15
"221",36,12,19
"222",43,1,14
"223",34,23,23
"224",36,5,20
"225",39,7,20
"226",32,2,7
"227",38,10,19
"228",27,5,7
"229",44,18,27
"230",27,8,4
"231",32,7,12
"232",14,-2,-2
"233",30,7,14
"234",41,3,20
"235",27,4,5
"236",40,24,24
"237",30,4,20
"238",27,5,10
"239",32,12,19
"240",44,23,25
"241",15,-6,4
"242",40,12,15
"243",30,5,8
"244",41,18,11
"245",41,17,16
"246",22,7,5
"247",43,18,9
"248",32,9,17
"249",36,9,11
"250",37,0,7
"251",36,1,8
"252",35,14,18
"253",23,-1,0
"254",44,23,21
"255",26,1,7
"256",41,23,26
"257",34,9,16
"258",40,18,21
"259",39,15,7
"260",39,21,19
"261",32,12,32
"262",45,27,32
"263",27,6,11
"264",38,16,19
"265",42,9,13
"266",35,17,6
"267",40,16,17
"268",18,-5,3
"269",42,23,27
"270",26,8,3
"271",45,23,22
"272",31,3,9
"273",40,26,24
"274",17,4,1
"275",26,6,-2
"276",43,14,19
"277",33,6,13
"278",30,14,23
"279",32,16,12
"280",33,9,13
"281",23,6,11
"282",33,3,13
"283",41,5,31
"284",33,10,15
"285",20,-6,-2
"286",32,15,5
"287",23,7,3
"288",42,17,22
"289",35,14,15
"290",41,4,12
"291",29,13,15
"292",37,13,13
"293",18,-8,-3
"294",27,12,15
"295",33,14,17
"296",28,0,2
"297",18,-6,0
"298",30,-3,16
"299",41,9,14
"300",41,11,18
"301",32,14,22
"302",31,16,20
"303",23,10,5
"304",34,8,17
"305",24,5,13
"306",25,6,12
"307",38,14,16
"308",39,3,5
"309",17,-7,-2
"310",24,16,2
"311",36,-4,15
"312",26,9,17
"313",35,1,5
"314",35,-1,7
"315",39,16,19
"316",28,13,6
"317",30,4,15
"318",32,3,3
"319",41,-2,10
"320",40,14,21
"321",32,9,8
"322",24,-4,8
"323",26,6,21
"324",41,20,12
"325",30,10,13
"326",37,8,27
"327",27,3,9
"328",31,-2,7
"329",42,17,30
"330",45,14,32
"331",41,21,22
"332",17,-4,1
"333",27,9,20
"334",44,20,27
"335",31,5,8
"336",45,-5,28
"337",40,19,12
"338",33,17,14
"339",44,14,13
"340",33,4,18
"341",38,13,9
"342",40,6,15
